"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.68,0,10,-16.2412320426656,4.1187857933039
5.68,0,12,-14.6719874167143,4.01903953836374
5.68,0,14,-13.376081985524,3.90344190926215
5.68,0,16,-12.2861191781524,3.77223681212346
5.68,0,18,-11.3572330633909,3.62569095830424
5.68,0,20,-10.5582416741208,3.46409351784942
5.68,0,22,-9.8666358892918,3.28775591189784
5.68,0,24,-9.26562595067994,3.09701177937544
5.68,0,26,-8.7423264885574,2.89221714285086
5.68,0,28,-8.28659724865473,2.67375078312531
5.68,0,30,-7.89027656711426,2.44201481274694
5.68,0,32,-7.54665866116489,2.19743541635703
5.68,0,34,-7.25012718183997,1.94046370211316
5.68,0,36,-6.99589178241019,1.6715765851559
5.68,0,38,-6.77979432585335,1.39127760307351
5.68,0,40,-6.59816324763503,1.10009754645729
5.68,0,42,-6.44770192938075,0.798594776682984
5.68,0,44,-6.32540160064518,0.487355099516935
5.68,0,46,-6.22847233095766,0.166991068185905
5.68,0,48,-6.15428772026041,-0.161859396138731
5.68,0,50,-6.10034031135847,-0.498535154785323
5.68,0,52,-6.06420575727799,-0.842354828736388
5.68,0,54,-6.0435145169029,-1.19262061813348
5.68,0,56,-6.03593040690329,-1.54862293408556
5.68,0,58,-6.03913575377483,-1.90964576424987
5.68,0,60,-6.05082318869497,-2.27497264569871
5.68,0,62,-6.06869431378922,-2.64389307481742
5.68,0,64,-6.09046553289414,-3.01570914804604
5.68,0,66,-6.11388126825738,-3.38974220241178
5.68,0,68,-6.13673456303638,-3.7653392133919
5.68,0,70,-6.15689469403167,-4.14187871089666
5.68,0,72,-6.17234090551488,-4.51877599186783
5.68,0,74,-6.18120076701365,-4.89548743854
5.68,0,76,-6.18179103110927,-5.27151379203786
5.68,0,78,-6.17265832488265,-5.64640227819329
5.68,0,80,-6.15261666663808,-6.01974753266793
5.68,0,82,-6.12077876237898,-6.39119132259752
5.68,0,84,-6.07657836812507,-6.76042111005298
5.68,0,86,-6.01978170336428,-7.12716754807243
5.68,0,88,-5.9504868910587,-7.49120104372554
5.68,0,90,-5.86911153870665,-7.85232756662032
5.68,0,92,-5.77636968583727,-8.21038392793165
5.68,0,94,-5.6732402550408,-8.56523280652635
5.68,0,96,-5.56092973094364,-8.91675785582763
5.68,0,98,-5.44083199977048,-9.26485928615758
5.68,0,100,-5.31448813125027,-9.60945037785633
5.68,0,102,-5.18354845374013,-9.95045543257192
5.68,0,104,-5.04973867382162,-10.2878097026658
5.68,0,106,-4.9148311379877,-10.6214618383444
5.68,0,108,-4.78062172228713,-10.9513793449979
5.68,0,110,-4.64891233097381,-11.2775574372679
5.68,0,112,-4.52149861948291,-11.6000315044583
5.68,0,114,-4.40016233478315,-11.918893165026
5.68,0,116,-4.28666757241871,-12.2343095977958
5.68,0,118,-4.18276025905237,-12.5465455180259
5.68,0,120,-4.09017025370984,-12.8559868523243
5.68,0,122,-4.0106155938905,-13.1631648996799
5.68,0,124,-3.9458085728391,-13.4687795891099
5.68,0,126,-3.89746350625439,-13.7737203925402
5.68,0,128,-3.86730622145761,-14.0790835436183
5.68,0,130,-3.85708547632219,-14.3861844469113
5.68,0,132,-3.86858669123478,-14.6965645124708
5.68,0,134,-3.90364856234308,-15.0119920746065
5.68,0,136,-3.96418333110581,-15.3344574973252
5.68,0,138,-4.05220173289146,-15.6661629789583
5.68,0,140,-4.16984396384433,-16.0095079016468
5.68,0,142,-4.31941843063467,-16.3670708002794
5.68,0,144,-4.5034506412277,-16.7415891406341
5.68,0,146,-4.72474544581169,-17.135938103419
